stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1000,,"ON GARDNER AVE AT N CENTURY AVE",,  39.125786, -94.493797,,,0,
1001,,"ON NORFLEET RD AT NE 40TH ST SB",,  39.166947, -94.426329,,,0,
1007,,"ON NE ANTIOCH AT WINN SB",,  39.158694, -94.546843,,,0,
1010004,,"ON 11TH AT CENTRAL WESTBOUND",,  39.100989, -94.586833,,,0,
1010017,,"ON 6TH AT ANN SOUTHBOUND",,  39.113705, -94.624141,,,0,
101002,,"ON MINNESOTA AVE AT 7TH STREET EB",,  39.115464, -94.626530,,,0,place_7minn
1010023,,"ON MINNESOTA AT 10TH WESTBOUND",,  39.115575, -94.635032,,,0,
1010024,,"ON MINNESOTA AT 11TH WESTBOUND",,  39.115573, -94.638005,,,0,
1010041,,"ON STATE AT 41ST TERRACE WESTBOUND",,  39.116878, -94.677956,,,0,
1010042,,"ON 47TH AT MINNESOTA SOUTHBOUND",,  39.116093, -94.686572,,,0,
1010065,,"ON LEAVENWORTH RD AT N 5124 WESTBOUND",,  39.142950, -94.696774,,,0,
1010066,,"ON LEAVENWORTH RD AT N 51ST WESTBOUND",,  39.142976, -94.698548,,,0,
1010067,,"ON LEAVENWORTH RD AT N 53RD WESTBOUND",,  39.143037, -94.702038,,,0,
1010068,,"ON LEAVENWORTH RD AT N 55TH WESTBOUND",,  39.143055, -94.705678,,,0,
1010069,,"ON LEAVENWORTH RD AT N 56TH WESTBOUND",,  39.143076, -94.709156,,,0,
101007,,"ON STATE AVE AT 32ND STREET EB",,  39.116696, -94.665742,,,0,
1010070,,"ON LEAVENWORTH RD AT N 57TH WESTBOUND",,  39.143117, -94.711560,,,0,
1010072,,"ON LEAVENWORTH RD AT N 60TH WESTBOUND",,  39.143170, -94.717824,,,0,
1010073,,"ON LEAVENWORTH RD AT N 60TH EASTBOUND",,  39.143045, -94.718076,,,0,
1010075,,"ON LEAVENWORTH RD AT N 57TH EASTBOUND",,  39.142975, -94.711803,,,0,
1010076,,"ON LEAVENWORTH RD AT N 56TH EASTBOUND",,  39.142954, -94.709112,,,0,
1010077,,"ON LEAVENWORTH RD AT N 55TH EASTBOUND",,  39.142934, -94.705588,,,0,
1010078,,"ON LEAVENWORTH RD AT N 53RD EASTBOUND",,  39.142891, -94.701946,,,0,
1010079,,"ON LEAVENWORTH RD AT N 51ST EASTBOUND",,  39.142848, -94.696656,,,0,
10101,,"ON MINNESOTA AVE AT 7TH STREET WB",,  39.115568, -94.626944,,,0,place_7minn
1010118,,"ON MINNESOTA AT 10TH EASTBOUND",,  39.115483, -94.634994,,,0,
1010119,,"ON MINNESOTA AT 9TH EASTBOUND",,  39.115483, -94.632511,,,0,
1010120,,"ON MINNESOTA AT 8TH EASTBOUND",,  39.115482, -94.629722,,,0,
1010124,,"ON ANN AT 6TH EASTBOUND",,  39.113565, -94.624192,,,0,
1010125,,"ON 6TH AT MINNESOTA NORTHBOUND",,  39.115436, -94.623971,,,0,
1010129,,"ON 4TH AT STATE NORTHBOUND",,  39.116649, -94.618719,,,0,
1010130,,"ON 4TH AT WASHINGTON NORTHBOUND",,  39.118341, -94.618677,,,0,
1010133,,"ON BROADWAY AT 8TH SOUTHBOUND",,  39.104747, -94.588277,,,0,
1010138,,"ON 4TH AT STATE AVE SOUTHBOUND",,  39.116668, -94.618860,,,0,
1010139,,"ON 5TH AT STATE AVE NB",,  39.116463, -94.621309,,,0,
1010200,,"ON 12TH AT WASHINGTON WESTBOUND",,  39.100218, -94.589931,,,0,
1011301,,"ON STATE AVE AT CAMPUS DR WB",,  39.116796, -94.747172,,,0,
1011302,,"ON STATE AVE AT CAMPUS DR EB",,  39.116545, -94.746606,,,0,
1011303,,"ON MINNESOTA AT 12TH ST WB",,  39.115571, -94.640601,,,0,
1011304,,"ON MINNESOTA AT 13TH ST WB",,  39.115574, -94.642999,,,0,
1011305,,"ON MINNESOTA AT 14TH WB",,  39.115571, -94.644582,,,0,
1011306,,"ON MINNESOTA AT 16TH ST WB",,  39.115569, -94.646924,,,0,
1011307,,"ON MINNESOTA AT 18TH ST WB",,  39.115567, -94.648255,,,0,
1011308,,"ON HOEL PKWY AT STATE AVE NB",,  39.116468, -94.652205,,,0,
1011309,,"ON MINNESOTA AT 18TH ST EB",,  39.115476, -94.649455,,,0,
1011310,,"ON MINNESOTA AT 16TH ST EB",,  39.115462, -94.647157,,,0,
1011311,,"ON MINNESOTA AT 14TH ST EB",,  39.115463, -94.644815,,,0,
1011312,,"ON MINNESOTA AT 13TH ST EB",,  39.115467, -94.643231,,,0,
1011313,,"ON MINNESOTA AT 12TH ST EB",,  39.115464, -94.640834,,,0,
1011314,,"ON MINNESOTA AT 11TH ST EB",,  39.115468, -94.638241,,,0,
1011315,,"ON STATE AVE AT 94TH ST EB",,  39.116275, -94.797340,,,0,
1011316,,"ON VILLAGE WEST PKWY AT SUNFLOWER LANE SEB",,  39.124953, -94.828875,,,0,
1011317,,"ON VILLAGE WEST PKWY AT PRAIRIE CROSSING SEB",,  39.123487, -94.824360,,,0,
1011318,,"ON VILLAGE WEST PKWY AT CABELA DR SB",,  39.118815, -94.818811,,,0,
1011319,,"ON STATE AVE AT 92ND EB",,  39.116262, -94.791867,,,0,
1011320,,"ON STATE AVE AT 86TH ST EB",,  39.116218, -94.779253,,,0,
101152,,"ON ARMSTRONG AT 5TH WB",,  39.114622, -94.621248,,,0,
101154,,"ON STATE AVE AT 82ND EB",,  39.116220, -94.769007,,,0,
101155,,"ON VILLAGE PKWY AT PRAIRIE CROSSING WB",,  39.123864, -94.824600,,,0,
101156,,"ON VILLAGE WEST AT SUNFLOWER LANE NWB",,  39.125312, -94.828875,,,0,
101171,,"AMAZON ON TURNER DIAGONAL",,  39.100000, -94.738481,,,0,
1012501,,"ON MINNESOTA AT 5TH EB",,  39.115421, -94.621131,,,0,
1012700,,"ON PARALLEL PKWY AT 90TH EASTBOUND",,  39.128560, -94.788737,,,0,
1012703,,"ON N 82ND ST AT 1736 WALKER SOUTHBOUND",,  39.124194, -94.769904,,,0,
1012802,,"ON STATE AVE AT WASHINGTON EB",,  39.116711, -94.658122,,,0,
