route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
11,AprSat-Saturday-1-202304-0000010,8087904,"11 - Northeast-Westside/KU Med Center",1,858847,110039
11,AprSat-Saturday-1-202304-0000010,8087905,"11-NORTHEAST-WESTSIDE/TO MCC",0,858915,110045
11,AprSat-Saturday-1-202304-0000010,8087906,"11 - Northeast-Westside/KU Med Center",1,858847,110039
11,AprSat-Saturday-1-202304-0000010,8087907,"11-NORTHEAST-WESTSIDE/TO MCC",0,858915,110045
11,AprSat-Saturday-1-202304-0000010,8087908,"11 - Northeast-Westside/KU Med Center",1,858847,110039
11,AprSat-Saturday-1-202304-0000010,8087909,"11-NORTHEAST-WESTSIDE/TO MCC",0,858915,110045
11,AprSat-Saturday-1-202304-0000010,8087910,"11 - Northeast-Westside/KU Med Center",1,858890,110039
11,AprSat-Saturday-1-202304-0000010,8087911,"11-NORTHEAST-WESTSIDE/TO MCC",0,858847,110045
11,AprSat-Saturday-1-202304-0000010,8087912,"11 - Northeast-Westside/KU Med Center",1,858915,110039
11,AprSat-Saturday-1-202304-0000010,8087913,"11-NORTHEAST-WESTSIDE/TO MCC",0,858847,110045
11,AprSat-Saturday-1-202304-0000010,8087914,"11 - Northeast-Westside/KU Med Center",1,858915,110039
11,AprSat-Saturday-1-202304-0000010,8087915,"11-NORTHEAST-WESTSIDE/TO MCC",0,858847,110045
11,AprSat-Saturday-1-202304-0000010,8087916,"11 - Northeast-Westside/KU Med Center",1,858915,110039
11,AprSat-Saturday-1-202304-0000010,8087917,"11-NORTHEAST-WESTSIDE/TO MCC",0,858847,110045
11,AprSat-Saturday-1-202304-0000010,8087918,"11 - Northeast-Westside/KU Med Center",1,858882,110039
11,AprSat-Saturday-1-202304-0000010,8087919,"11-NORTHEAST-WESTSIDE/TO MCC",0,858915,110045
11,AprSat-Saturday-1-202304-0000010,8087920,"11 - Northeast-Westside/KU Med Center",1,858890,110039
11,AprSat-Saturday-1-202304-0000010,8087921,"11-NORTHEAST-WESTSIDE/TO MCC",0,858882,110045
11,AprSat-Saturday-1-202304-0000010,8087922,"11 - Northeast-Westside/KU Med Center",1,858890,110039
11,AprSat-Saturday-1-202304-0000010,8087923,"11-NORTHEAST-WESTSIDE/TO MCC",0,858882,110045
11,AprSat-Saturday-1-202304-0000010,8087924,"11 - Northeast-Westside/KU Med Center",1,858890,110039
11,AprSat-Saturday-1-202304-0000010,8087925,"11-NORTHEAST-WESTSIDE/TO MCC",0,858882,110045
11,AprSat-Saturday-1-202304-0000010,8087926,"11 - Northeast-Westside/KU Med Center",1,858890,110039
11,AprSat-Saturday-1-202304-0000010,8087927,"11-NORTHEAST-WESTSIDE/TO MCC",0,858890,110045
11,AprSat-Saturday-1-202304-0000010,8087928,"11 - Northeast-Westside/KU Med Center",1,858882,110039
11,AprSat-Saturday-1-202304-0000010,8087929,"11-NORTHEAST-WESTSIDE/TO MCC",0,858890,110045
11,AprSat-Saturday-1-202304-0000010,8087930,"11 - Northeast-Westside/KU Med Center",1,858882,110039
11,AprSat-Saturday-1-202304-0000010,8087931,"11-NORTHEAST-WESTSIDE/TO MCC",0,858890,110045
11,AprSat-Saturday-1-202304-0000010,8087932,"11 - Northeast-Westside/KU Med Center",1,858882,110039
11,AprSat-Saturday-1-202304-0000010,8087933,"11-NORTHEAST-WESTSIDE/TO MCC",0,858890,110045
11,AprSat-Saturday-1-202304-0000010,8087934,"11 - Northeast-Westside/KU Med Center",1,858882,110039
24,AprSat-Saturday-1-202304-0000010,8087935,"24 - Independence/East Village",1,858858,240052
24,AprSat-Saturday-1-202304-0000010,8087936,"24 - IndependenceTO INDEPENDENCE",0,858858,240049
24,AprSat-Saturday-1-202304-0000010,8087937,"24 - Independence/East Village",1,858858,240052
24,AprSat-Saturday-1-202304-0000010,8087938,"24 - Independence/TO DOWNTOWN",0,858858,240050
